Year,Andaman and Nicobar,Bihar,Jharkhand,Odisha,West Bengal
2001,9838,893,4184,19055,2496
2002,13145,254,529,24581,2254
2003,11380,189,248,33606,1215
2004,1469,455,1104,27459,3441
2005,24591,659,1807,22345,2821
2006,5692,430,2938,25840,4804
2007,5470,303,1460,36111,9576
2008,12115,552,2066,36549,9689
2009,5814,1618,5268,29913,5644
2010,5370,726,2341,14729,12632
2011,683,401,1168,34730,5903
2012,4799,640,2019,23662,7722
2013,3312,91,1065,34270,2124
2014,9296,94,1163,47870,4223
2015,504,16,705,24709,992
2016,1093,50,1166,53308,1725
2017,1965,235,2309,64756,3146
2018,733,54,1178,62966,1900
